decisiondate,separateopinion,documentcollectionid2,doctype,applicability,appno,importance,casecitation,reportdate,respondent,kpthesaurus,documentcollectionid,violation,rulesofcourt,ecli,contentsitename,externalsources,typedescription,languageisocode,referencedate,issue,resolutiondate,meetingnumber,publishedby,article,advopstatus,advopidentifier,conclusion,nonviolation,itemid,resolutionnumber,judgementdate,introductiondate,scl,kpdate,docname,representedby,originatingbody,rank,download_label,matched_violation_articles,matched_nonviolation_articles
,FALSE,CASELAW;JUDGMENTS;COMMITTEE;ENG,HEJUD,,61662/13;64443/13;67201/13;11204/14;13237/14;15444/14,4,,,RUS,445;40;136;119,CASELAW;JUDGMENTS;COMMITTEE;ENG,6;6-1,,ECLI:CE:ECHR:2017:0706JUD006166213,ECHR,,15,ENG,,,,,,6;6-1,,,Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing;Equality of arms),,001-174967,,06/07/2017 00:00:00,,,2017-07-06T00:00:00,CASE OF GORDEYEV AND OTHERS v. RUSSIA,,27,3.0000021,violation,6,
01/02/2005 00:00:00,FALSE,CASELAW;JUDGMENTS;CHAMBER;ENG,HEJUD,,7023/03,4,,,RUS,14;128;109;183;10;498;369;304;445;7;40;113;216,CASELAW;JUDGMENTS;CHAMBER;ENG,6;6-1,,ECLI:CE:ECHR:2005:0224JUD000702303,ECHR,,15,ENG,,,,,,6;6-1;29;29-3;34;35;35-1;41;P1-1;P1-1-1,,,Violation of Art. 6-1;Violation of P1-1;Pecuniary damage - financial award;Non-pecuniary damage - financial award,,001-68415,,24/02/2005 00:00:00,03/10/2001 00:00:00,"Burdov v. Russia, no. 59498/00, §§ 34, 35, 40 and 41, ECHR 2002-III;Gençel v. Turkey, no. 53431/99, § 27, 23 October 2003;Hornsby v. Greece, judgment of 19 March 1997, Reports of Judgments and Decisions 1997-II, p. 510, § 40;Klass and Others v. Germany, judgment of 6 September 1978, Series A no. 28, pp. 17-18, § 33;Kudla v. Poland [GC], no. 30210/96, § 158, ECHR 2000-XI;Mifsud v. France (dec.), no. 57220/00, § 15, ECHR 2002-VIII;Piersack v. Belgium (Article 50), judgment of 26 October 1984, Series A no. 85, p. 16, § 12;Selmouni v. France [GC], no. 25803/94, § 76, ECHR 1999-V;Stran Greek Refineries and Stratis Andreadis v. Greece, judgment of 9 December 1994, Series A no. 301-B, p. 84, § 59",2005-02-24T00:00:00,CASE OF MAKAROVA AND OTHERS v. RUSSIA,N/A,4,3.0000021,violation,6,
,FALSE,CASELAW;JUDGMENTS;COMMITTEE;ENG,HEJUD,,22596/04,4,,,RUS,445;40;136;15;406,CASELAW;JUDGMENTS;COMMITTEE;ENG,6;6-1,,ECLI:CE:ECHR:2010:1021JUD002259604,ECHR,,15,ENG,,,,,,6;6-1,,,Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Reasonable time);Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing;Adversarial trial),,001-101191,,21/10/2010 00:00:00,,,2010-10-21T00:00:00,CASE OF AKHMATOVA v. RUSSIA,N/A,25,3.0000021,violation,6,
,FALSE,CASELAW;JUDGMENTS;CHAMBER;ENG,HEJUD,,14807/08,4,,,RUS,448;227;474;445;76;406,CASELAW;JUDGMENTS;CHAMBER;ENG,5;5-3;5-4;6;6-1,,ECLI:CE:ECHR:2012:0724JUD001480708,ECHR,,15,ENG,,,,,,5;5-3;5-4;6;6-1,,,Violation of Article 5 - Right to liberty and security (Article 5-3 - Length of pre-trial detention);Violation of Article 5 - Right to liberty and security (Article 5-4 - Speediness of review);Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Reasonable time),,001-112442,,24/07/2012 00:00:00,,,2012-07-24T00:00:00,CASE OF MIKHAIL GRISHIN v. RUSSIA,KOMISSAROVA V.Y.,4,3.0000021,violation,5;6,
09/12/2004 00:00:00,FALSE,CASELAW;JUDGMENTS;CHAMBER;ENG,HEJUD,,5124/03,4,,,RUS,369;304;445;7;40;113;216,CASELAW;JUDGMENTS;CHAMBER;ENG,6;6-1,,ECLI:CE:ECHR:2005:0113JUD000512403,ECHR,,15,ENG,,,,,,6;6-1;29;29-3;41;P1-1;P1-1-1,,,Violation of Art. 6-1;Violation of P1-1;Pecuniary damage - financial award;Non-pecuniary damage - financial award,,001-67950,,13/01/2005 00:00:00,04/01/2003 00:00:00,"Burdov v. Russia, no. 59498/00, §§ 34, 35 and 40, ECHR 2002-III;Gerasimova v. Russia (dec.), no. 24669/02, 16 September 2004;Hornsby v. Greece, judgment of 19 March 1997, Reports 1997-II, p. 510, § 40;Metaxas v. Greece, no. 8415/02, § 36, 27 May 2004;Stran Greek Refineries and Stratis Andreadis v. Greece, judgment of 9 December 1994, Series A no. 301-B, § 82",2005-01-13T00:00:00,CASE OF GIZZATOVA v. RUSSIA,N/A,4,3.0000021,violation,6,
,TRUE,CASELAW;JUDGMENTS;GRANDCHAMBER;ENG,HEJUD,,4378/02,2,,,RUS,445;76;136;448;227;451;203;424;429;216,CASELAW;JUDGMENTS;GRANDCHAMBER;ENG,5;5-3;8;6,,ECLI:CE:ECHR:2009:0310JUD000437802,ECHR,,15,ENG,,Section 8 of the Operational-Search Activities Act of 12 August 1995 (no. 144-FZ),,,,5;5-3;6;6-1;8;8-1;8-2;41,,,Violation of Art. 5-3;Violation of Art. 8;No-violation of Art. 6;Pecuniary damage - claim dismissed;Non-pecuniary damage - award,,001-91704,,10/03/2009 00:00:00,,"A. v. France, 23 November 1993, Series A no. 277-B;Allan v. the United Kingdom, no. 48539/99, §§ 42, 4 3 and 44, ECHR 2000-IX;Amann v. Switzerland [GC], no. 27798/95, § 56, ECHR 2000-II;Barberà, Messegué and Jabardo v. Spain (article 50), §§ 16-20, 13 June 1994, Series A no. 285-C;Berktay v. Turkey, no. 22493/93, § 215, 1 March 2001;Bykov v. Russia (dec.), no. 4378/02, 7 September 2006;Dzelili v. Germany, no. 65745/01, §§ 107-113, 10 November 2005;Heaney and McGuinness v. Ireland, no. 34720/97, §§ 54-55 and 57-58, ECHR 2000-XII;Heglas v. the Czech Republic, no. 5935/02, §§ 89-92, 1 March 2007;Huvig v. France, 24 April 1990, §§ 29 and 32, Series A no. 176-B;I.J.L. and Others v. the United Kingdom (just satisfaction), nos. 29522/95, 30056/96 and 30574/96, § 18, 25 September 2001;Ilijkov v. Bulgaria, no. 33977/96, § 85 and § 86, 26 July 2001;J.B. v. Switzerland, no. 31827/96, ECHR 2001-III;Jalloh v. Germany [GC], no. 54810/00, §§ 94-117, ECHR 2006-IX;John Murray v. the United Kingdom, 8 February 1996, § 45, Reports 1996-I;Khan v. the United Kingdom, no. 35394/97, §§ 25-28, 34, 35 and 37, ECHR 2000-V;Kudla v. Poland [GC], no. 30210/96, §§ 110 and ss., ECHR 2000-XI;Letellier v. France, 26 June 1991, § 35, Series A no. 207;M.M. v. the Netherlands, no. 39339/98, §§ 36-42, 8 April 2003;Malone v. the United Kingdom, 2 August 1984, § 67, Series A no. 82;McKay v. the United Kingdom [GC], no. 543/03, § 43, ECHR 2006-X;Neumeister v. Austria (27 June 1968, § 4, Series A no. 8;O’Halloran and Francis v. the United Kingdom [GC] nos. 15809/02 and 25624/02, §§ 53-63, ECHR 2007;P.G. and J.H. v. the United Kingdom, no. 44787/98, §§ 37-38 and § 76, ECHR 2001-IX;Panchenko v. Russia, no. 45100/98, §§ 99 and 105, 8 February 2005;Saunders v. the United Kingdom, 17 December 1996, §§ 68-69, Reports 1996-VI;Schenk v. Switzerland, 12 July 1988, § 45, Series A no. 140;Teixeira de Castro v. Portugal, 9 June 1998, § 34, Reports 1998-IV;Valenzuela Contreras v. Spain, 30 July 1998, § 46, Reports of Judgments and Decisions 1998-V;Weinsztal v. Poland, no. 43748/98, § 50, 30 May 2006;Wood v. the United Kingdom, no. 23414/02, § 29, 16 November 2004;Yagci and Sargin v. Turkey, 8 June 1995, § 50, Series A no. 319-A",2009-03-10T00:00:00,CASE OF BYKOV v. RUSSIA,KRAUSS D. ; PASTILLE J.-C. ; PADVA G.,8,3.0000021,violation,5;6;8,
,FALSE,CASELAW;JUDGMENTS;CHAMBER;ENG,HEJUD,,37287/09,4,,,RUS,449;632;595;231;350;90;193;448;220;444;110,CASELAW;JUDGMENTS;CHAMBER;ENG,2;2-1;3;5;5-1;13;13+2,,ECLI:CE:ECHR:2014:0918JUD003728709,ECHR,,15,ENG,,,,,,2;2-1;3;5;5-1;13;13+2,,,Violation of Article 2 - Right to life (Article 2-1 - Life) (Substantive aspect);Violation of Article 2 - Right to life (Article 2 - Positive obligations;Article 2-1 - Life) (Substantive aspect);Violation of Article 2 - Right to life (Article 2-1 - Effective investigation) (Procedural aspect);Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Violation of Article 13+2 - Right to an effective remedy (Article 13 - Effective remedy) (Article 2-1 - Life;Article 2 - Right to life),,001-146388,,18/09/2014 00:00:00,,,2014-09-18T00:00:00,CASE OF MAKAYEVA v. RUSSIA,NGO EHRAC/MEMORIAL HUMAN RIGHTS CENTRE,4,3.0000021,violation,3;5,
,FALSE,CASELAW;JUDGMENTS;CHAMBER;ENG,HEJUD,,43095/05,4,,,RUS,445;76;136;86,CASELAW;JUDGMENTS;CHAMBER;ENG,6;6+6-3-c;6-1;6-3-c,,ECLI:CE:ECHR:2013:1128JUD004309505,ECHR,,15,ENG,,,,,,6;6+6-3-c;6-1;6-3-c,,,Violation of Article 6+6-3-c - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6 - Right to a fair trial;Article 6-3-c - Defence through legal assistance),,001-138575,,28/11/2013 00:00:00,,,2013-11-28T00:00:00,CASE OF ALEKSANDR DEMENTYEV v. RUSSIA,PREOBRAZHENSKAYA O.V.,4,3.0000021,violation,6,
,FALSE,CASELAW;JUDGMENTS;CHAMBER;ENG,HEJUD,,17504/07,4,,,RUS,448;220;29;227;481;45,CASELAW;JUDGMENTS;CHAMBER;ENG,5;5-1;5-1-c;5-3;5-4;5-5,,ECLI:CE:ECHR:2014:0612JUD001750407,ECHR,,15,ENG,,,,,,5;5-1;5-1-c;5-3;5-4;5-5,,,Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention;Article 5-1-c - Bringing before competent legal authority);Violation of Article 5 - Right to liberty and security (Article 5-3 - Length of pre-trial detention);Violation of Article 5 - Right to liberty and security (Article 5-4 - Take proceedings);Violation of Article 5 - Right to liberty and security (Article 5-5 - Compensation),,001-144674,,12/06/2014 00:00:00,,,2014-06-12T00:00:00,CASE OF CHUPRIKOV v. RUSSIA,KRUTIKOVA Y.,4,3.0000021,violation,5,
,FALSE,CASELAW;JUDGMENTS;COMMITTEE;ENG,HEJUD,,33655/04,4,,,RUS,445;76;406,CASELAW;JUDGMENTS;COMMITTEE;ENG,6;6-1,,ECLI:CE:ECHR:2010:1021JUD003365504,ECHR,,15,ENG,,,,,,6;6-1,,,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Reasonable time),,001-101193,,21/10/2010 00:00:00,,,2010-10-21T00:00:00,CASE OF POLOMOSHNOV v. RUSSIA,N/A,25,3.0000021,violation,6,
